train_loss,test_clean_acc,test_clean_loss,test_asr,test_asr_loss,epoch
2.2783179699993337,0.1135,2.2911180235018396,1.0,1.76969491600231,0
2.2091574597714554,0.2862,2.1742651538484417,0.9056,1.7087673996664157,1
1.9897610597264792,0.6267,1.8495153993557973,0.4733,1.9851987248013734,2
1.8482201419659514,0.6493,1.8170422315597534,0.5442,1.9266093969345093,3
1.791739717983742,0.6912,1.7765210760626824,0.6534,1.817036115439834,4
1.7615193771655118,0.7702,1.7023724917393581,0.5756,1.8952546112096993,5
1.707257431453225,0.8042,1.667920150574605,0.5578,1.907419050575062,6
1.687899526502532,0.804,1.6655599995023886,0.6946,1.773094662435495,7
1.6742203637226811,0.8133,1.6558999673576111,0.7381,1.7342693380489471,8
1.6619784552405383,0.8231,1.6443991858488436,0.5933,1.8688298972548953,9
1.6528926759894722,0.8125,1.65454209382367,0.9009,1.574408338328076,10
1.644255095199227,0.8005,1.6654523892007815,0.964,1.5042911023850654,11
1.6367279898637392,0.8069,1.6580973901566427,0.9722,1.496876536660893,12
1.6293776131896323,0.8362,1.6291607656296652,0.8999,1.5780730725853307,13
1.624321846057103,0.8361,1.6298178039538633,0.9356,1.533622253472638,14
1.618857572836154,0.8477,1.6178568001765354,0.8578,1.6181696919119282,15
1.6138945947577958,0.848,1.6188951935737756,0.9027,1.5745853291954963,16
1.610361192780517,0.8466,1.6180210933563814,0.9646,1.5069193840026855,17
1.6069269566647788,0.8541,1.6108060202021508,0.9445,1.5298907361972105,18
1.6031557908698695,0.8526,1.6116398314761509,0.9421,1.5255772968766037,19
1.6003719891058101,0.86,1.6040688419038323,0.9352,1.5363956226664743,20
1.5977738955890193,0.8631,1.6022932673715482,0.9181,1.55571327012056,21
1.5957624683502132,0.8666,1.598355020687079,0.9192,1.5532196896850683,22
1.5933025823727345,0.8601,1.6049241450182192,0.974,1.4950095156955112,23
1.5916620510727613,0.8639,1.5992198567481557,0.9477,1.5194235523794866,24
1.5897752969249734,0.8609,1.6020967998322408,0.9864,1.4815484513143065,25
1.588720130513726,0.863,1.600374905167112,0.9834,1.4832437904017746,26
1.5867749439882064,0.8663,1.5969821290605386,0.9432,1.5268598073607038,27
1.585719777576959,0.8661,1.5964913041728317,0.9486,1.5219152216698713,28
1.5842788793893257,0.8715,1.5904958802423659,0.9082,1.5620659081039914,29
1.5831514858742004,0.8718,1.59084335861692,0.949,1.5212026925603295,30
1.581930132054571,0.869,1.5934454301360306,0.9809,1.4848563215535158,31
1.5808443829957357,0.8726,1.5893625977692332,0.9531,1.5151435364583494,32
1.5798764096648454,0.8696,1.592096537541432,0.9863,1.4789214134216309,33
1.5788791550756263,0.8655,1.5970749224826788,0.9947,1.4694931028754847,34
1.5780411905317164,0.8741,1.5871164457053895,0.9526,1.5135873556137085,35
1.5772753229527585,0.8745,1.587290160974879,0.9685,1.4990552496758236,36
1.5764567491088086,0.8762,1.585771458923437,0.9485,1.5189560727708658,37
1.5759593581339952,0.8722,1.5900022603903607,0.9701,1.4961117680665035,38
1.5752700122434702,0.875,1.5866047310981022,0.9711,1.494598627090454,39
1.5746095571944962,0.8705,1.5901911228325716,0.9897,1.4754433168727121,40
1.574117241637793,0.8755,1.585556561020529,0.9734,1.4924638764873432,41
1.5728667366987608,0.8738,1.587414626103298,0.9795,1.4851454192665732,42
1.5724397508828625,0.8771,1.5845289655551789,0.9394,1.525473282595349,43
1.572031374933369,0.8739,1.5867135798095897,0.9856,1.4784373234791361,44
1.571377817247468,0.8679,1.5937301125496057,0.9974,1.4650283626690033,45
1.5709773797724547,0.8757,1.5844437757115455,0.9797,1.486575914036696,46
1.5703274659764792,0.8764,1.584600211708409,0.9721,1.4938223734023466,47
1.5700327013093016,0.8787,1.582169579092864,0.9646,1.4993533207352754,48
1.5695293239438965,0.878,1.5832965723268546,0.9362,1.532959139271147,49
